Game name;Game genre;Rating;Game developer;Game developer website;Game publisher;Game publisher website;Current players;24h peak players;all-time peak players
鬼谷八荒 Tale of Immortal;Tactical RPG Management Singleplayer Mythology;50.61%;鬼谷工作室;https://steamdb.info/https://steamdb.info/developer/%E9%AC%BC%E8%B0%B7%E5%B7%A5%E4%BD%9C%E5%AE%A4/;"鬼谷工作室; Lightning Games";"https://steamdb.info/https://steamdb.info/publisher/%E9%AC%BC%E8%B0%B7%E5%B7%A5%E4%BD%9C%E5%AE%A4/; https://steamdb.info/https://steamdb.info/publisher/Lightning+Games/";11097;11173;184171
Hyperdrive Massacre;Action Indie Local Multiplayer Arcade Casual;54.39%;34BigThings srl;https://steamdb.info/https://steamdb.info/developer/34BigThings+srl/;"34BigThings srl; Digital Tribe";"https://steamdb.info/https://steamdb.info/publisher/34BigThings+srl/; https://steamdb.info/https://steamdb.info/publisher/Digital+Tribe/";0;3;181308
Evolvation;Massively Multiplayer Action Indie Casual Simulation;66.21%;"Eric Ruts; Jacob Kooiman";"https://steamdb.info/https://steamdb.info/developer/Eric+Ruts/; https://steamdb.info/https://steamdb.info/developer/Jacob+Kooiman/";HyperReuts;https://steamdb.info/https://steamdb.info/publisher/HyperReuts/;0;2;172870
Fall Guys;Multiplayer Party Game Family Friendly Battle Royale;80.68%;Mediatonic;https://steamdb.info/https://steamdb.info/developer/Mediatonic/;does not exist;does not exist;3372;3738;172213
Call of Duty®: Modern Warfare® II - Open Beta;Action Shooter FPS Military First-Person;does not exist;"Infinity Ward; Raven Software; Beenox; Treyarch; High Moon Studios; Sledgehammer Games; Activision Shanghai; Demonware; Toys for Bob";"https://steamdb.info/https://steamdb.info/developer/Infinity+Ward/; https://steamdb.info/https://steamdb.info/developer/Raven+Software/; https://steamdb.info/https://steamdb.info/developer/Beenox/; https://steamdb.info/https://steamdb.info/developer/Treyarch/; https://steamdb.info/https://steamdb.info/developer/High+Moon+Studios/; https://steamdb.info/https://steamdb.info/developer/Sledgehammer+Games/; https://steamdb.info/https://steamdb.info/developer/Activision+Shanghai/; https://steamdb.info/https://steamdb.info/developer/Demonware/; https://steamdb.info/https://steamdb.info/developer/Toys+for+Bob/";Activision;https://steamdb.info/https://steamdb.info/publisher/Activision/;0;0;168330
Team Fortress 2;Free to Play Hero Shooter Multiplayer FPS;93.06%;Valve;https://steamdb.info/https://steamdb.info/developer/Valve/;does not exist;does not exist;92823;96403;167951
Total War: WARHAMMER III;Early Access Strategy Turn-Based Strategy;73.19%;"CREATIVE ASSEMBLY; Feral Interactive";"https://steamdb.info/https://steamdb.info/developer/CREATIVE+ASSEMBLY/; https://steamdb.info/https://steamdb.info/developer/Feral+Interactive/";"SEGA; Feral Interactive";"https://steamdb.info/https://steamdb.info/publisher/SEGA/; https://steamdb.info/https://steamdb.info/publisher/Feral+Interactive/";41223;43164;166754
DISTRAINT: Deluxe Edition;Indie Horror Psychological Horror Pixel Graphics;90.68%;Jesse Makkonen;https://steamdb.info/https://steamdb.info/developer/Jesse+Makkonen/;does not exist;does not exist;14;20;165266
The Tiny Bang Story;Point & Click Puzzle Hand-drawn Steampunk;84.85%;Colibri Games;https://steamdb.info/https://steamdb.info/developer/Colibri+Games/;does not exist;does not exist;8;14;164840
Company of Heroes 2;Strategy World War II RTS Multiplayer Tactical;77.74%;"Relic Entertainment; Feral Interactive (Mac); Feral Interactive (Linux)";"https://steamdb.info/https://steamdb.info/developer/Relic+Entertainment/; https://steamdb.info/https://steamdb.info/developer/Feral+Interactive+%28Mac%29/; https://steamdb.info/https://steamdb.info/developer/Feral+Interactive+%28Linux%29/";"SEGA; Feral Interactive (Mac); Feral Interactive (Linux)";"https://steamdb.info/https://steamdb.info/publisher/SEGA/; https://steamdb.info/https://steamdb.info/publisher/Feral+Interactive+%28Mac%29/; https://steamdb.info/https://steamdb.info/publisher/Feral+Interactive+%28Linux%29/";8087;8532;164688
Sid Meier's Civilization VI;Strategy Turn-Based Strategy Multiplayer Historical;83.92%;"Firaxis Games; Aspyr (Mac); Aspyr (Linux)";"https://steamdb.info/https://steamdb.info/developer/Firaxis+Games/; https://steamdb.info/https://steamdb.info/developer/Aspyr+%28Mac%29/; https://steamdb.info/https://steamdb.info/developer/Aspyr+%28Linux%29/";"2K; Aspyr (Mac); Aspyr (Linux)";"https://steamdb.info/https://steamdb.info/publisher/2K/; https://steamdb.info/https://steamdb.info/publisher/Aspyr+%28Mac%29/; https://steamdb.info/https://steamdb.info/publisher/Aspyr+%28Linux%29/";64116;70483;162657
Left 4 Dead 2;Zombies Co-op FPS Multiplayer Shooter;96.70%;Valve;https://steamdb.info/https://steamdb.info/developer/Valve/;does not exist;does not exist;30779;37856;162399
Halo: The Master Chief Collection;Great Soundtrack FPS Classic Multiplayer;91.62%;"343 Industries; Splash Damage; Ruffian Games; Bungie; Saber Interactive";"https://steamdb.info/https://steamdb.info/developer/343+Industries/; https://steamdb.info/https://steamdb.info/developer/Splash+Damage/; https://steamdb.info/https://steamdb.info/developer/Ruffian+Games/; https://steamdb.info/https://steamdb.info/developer/Bungie/; https://steamdb.info/https://steamdb.info/developer/Saber+Interactive/";Xbox Game Studios;https://steamdb.info/https://steamdb.info/publisher/Xbox+Game+Studios/;2353;5007;161024
Path of Exile;Free to Play Action RPG Hack and Slash RPG;86.76%;Grinding Gear Games;https://steamdb.info/https://steamdb.info/developer/Grinding+Gear+Games/;does not exist;does not exist;18587;20396;158882
Battlefield™ 2042 Open Beta;does not exist;does not exist;does not exist;does not exist;does not exist;does not exist;0;1;156665
Orwell;Choices Matter Political Sim Dystopian Story Rich;88.75%;Osmotic Studios;https://steamdb.info/https://steamdb.info/developer/Osmotic+Studios/;does not exist;does not exist;30;34;154375
MultiVersus;Multiplayer 2D Fighter Co-op Action Competitive;85.82%;Player First Games;https://steamdb.info/https://steamdb.info/developer/Player+First+Games/;Warner Bros. Games;https://steamdb.info/https://steamdb.info/publisher/Warner+Bros.+Games/;447;871;153433
Z1 Battle Royale;Survival Massively Multiplayer Multiplayer Open World;55.39%;Daybreak Game Company;https://steamdb.info/https://steamdb.info/developer/Daybreak+Game+Company/;does not exist;does not exist;302;302;151239
V Rising;Survival Open World Crafting Vampire Base Building;87.14%;Stunlock Studios;https://steamdb.info/https://steamdb.info/developer/Stunlock+Studios/;does not exist;does not exist;4922;5246;150645
Murderous Pursuits;Action Simulation Indie Strategy Stealth Multiplayer;62.33%;Blazing Griffin;https://steamdb.info/https://steamdb.info/developer/Blazing+Griffin/;does not exist;does not exist;2;6;149224
NARAKA: BLADEPOINT Playtest;does not exist;does not exist;does not exist;does not exist;does not exist;does not exist;0;0;148931
BROKE PROTOCOL: Online City RPG;Life Sim Indie Multiplayer Open World Sandbox;72.26%;Cylinder Studios;https://steamdb.info/https://steamdb.info/developer/Cylinder+Studios/;does not exist;does not exist;44;53;147854
Rocket League;Multiplayer Football (Soccer) Competitive Sports;87.95%;Psyonix LLC;https://steamdb.info/https://steamdb.info/developer/Psyonix+LLC/;does not exist;does not exist;25404;48235;147632
Wallpaper Engine;Application Mature Utilities Software Anime;97.26%;Wallpaper Engine Team;https://steamdb.info/https://steamdb.info/developer/Wallpaper+Engine+Team/;does not exist;does not exist;105922;117617;147019
Layers of Fear (2016);Horror Psychological Horror Atmospheric Walking Simulator;87.17%;Bloober Team SA;https://steamdb.info/https://steamdb.info/developer/Bloober+Team+SA/;does not exist;does not exist;51;53;145384
New World Open Beta;does not exist;does not exist;does not exist;does not exist;does not exist;does not exist;0;0;141668
Crusader Kings II;Grand Strategy Strategy Medieval Historical;88.71%;Paradox Development Studio;https://steamdb.info/https://steamdb.info/developer/Paradox+Development+Studio/;Paradox Interactive;https://steamdb.info/https://steamdb.info/publisher/Paradox+Interactive/;2927;3654;141439
Fortified;Action Tower Defense Indie Co-op Strategy;72.79%;Siege Camp;https://steamdb.info/https://steamdb.info/developer/Siege+Camp/;does not exist;does not exist;0;5;138627
Party Animals Demo;does not exist;does not exist;Recreate Games;https://steamdb.info/https://steamdb.info/developer/Recreate+Games/;Source Technology;https://steamdb.info/https://steamdb.info/publisher/Source+Technology/;0;0;135843
Source SDK Base 2007;does not exist;does not exist;does not exist;does not exist;does not exist;does not exist;81723;96001;133175
XCOM 2;Strategy Turn-Based Turn-Based Strategy Tactical;82.90%;"Firaxis Games; Feral Interactive (Mac); Feral Interactive (Linux)";"https://steamdb.info/https://steamdb.info/developer/Firaxis+Games/; https://steamdb.info/https://steamdb.info/developer/Feral+Interactive+%28Mac%29/; https://steamdb.info/https://steamdb.info/developer/Feral+Interactive+%28Linux%29/";"2K; Feral Interactive (Mac); Feral Interactive (Linux)";"https://steamdb.info/https://steamdb.info/publisher/2K/; https://steamdb.info/https://steamdb.info/publisher/Feral+Interactive+%28Mac%29/; https://steamdb.info/https://steamdb.info/publisher/Feral+Interactive+%28Linux%29/";4911;5373;133022
DARK SOULS™ III;Souls-like Dark Fantasy Difficult RPG Atmospheric;93.12%;FromSoftware, Inc.;https://steamdb.info/https://steamdb.info/developer/FromSoftware%2C+Inc./;"FromSoftware, Inc.; Bandai Namco Entertainment";"https://steamdb.info/https://steamdb.info/publisher/FromSoftware%2C+Inc./; https://steamdb.info/https://steamdb.info/publisher/Bandai+Namco+Entertainment/";6466;7104;129975
Hacknet;Hacking Simulation Programming Typing Story Rich;91.42%;Team Fractal Alligator;https://steamdb.info/https://steamdb.info/developer/Team+Fractal+Alligator/;Fellow Traveller;https://steamdb.info/https://steamdb.info/publisher/Fellow+Traveller/;77;85;127640
Wolcen: Lords of Mayhem;Hack and Slash Action RPG Isometric Multiplayer;56.27%;WOLCEN Studio;https://steamdb.info/https://steamdb.info/developer/WOLCEN+Studio/;does not exist;does not exist;1871;1871;127542
Human: Fall Flat;Co-op Funny Puzzle Adventure Physics Sandbox;93.55%;No Brakes Games;https://steamdb.info/https://steamdb.info/developer/No+Brakes+Games/;Curve Games;https://steamdb.info/https://steamdb.info/publisher/Curve+Games/;3576;4541;127517
Sekiro™: Shadows Die Twice;Souls-like Difficult Action Singleplayer Ninja;94.15%;FromSoftware;https://steamdb.info/https://steamdb.info/developer/FromSoftware/;"Activision (Excluding Japan and Asia); FromSoftware (Japan); 方块游戏 (Asia)";"https://steamdb.info/https://steamdb.info/publisher/Activision+%28Excluding+Japan+and+Asia%29/; https://steamdb.info/https://steamdb.info/publisher/FromSoftware+%28Japan%29/; https://steamdb.info/https://steamdb.info/publisher/%E6%96%B9%E5%9D%97%E6%B8%B8%E6%88%8F+%28Asia%29/";10541;11664;125315
OUTRIDERS;Looter Shooter RPG Co-op Third-Person Shooter;65.23%;People Can Fly;https://steamdb.info/https://steamdb.info/developer/People+Can+Fly/;Square Enix;https://steamdb.info/https://steamdb.info/publisher/Square+Enix/;433;595;125143
Borderlands 2;Loot Shooter Action Multiplayer Co-op Looter Shooter;92.77%;"Gearbox Software; Aspyr (Mac); Aspyr (Linux)";"https://steamdb.info/https://steamdb.info/developer/Gearbox+Software/; https://steamdb.info/https://steamdb.info/developer/Aspyr+%28Mac%29/; https://steamdb.info/https://steamdb.info/developer/Aspyr+%28Linux%29/";"2K; Aspyr (Mac); Aspyr (Linux)";"https://steamdb.info/https://steamdb.info/publisher/2K/; https://steamdb.info/https://steamdb.info/publisher/Aspyr+%28Mac%29/; https://steamdb.info/https://steamdb.info/publisher/Aspyr+%28Linux%29/";3274;4546;124678
Back 4 Blood Beta;Online Co-Op Zombies Action FPS Shooter;does not exist;Turtle Rock Studios;https://steamdb.info/https://steamdb.info/developer/Turtle+Rock+Studios/;Warner Bros. Games;https://steamdb.info/https://steamdb.info/publisher/+Warner+Bros.+Games/;0;1;122659
Prismata;Early Access Strategy Indie Free to Play Card Game;78.61%;Lunarch Studios;https://steamdb.info/https://steamdb.info/developer/Lunarch+Studios/;does not exist;does not exist;9;61;122553
Insurgency;FPS Realistic Tactical Multiplayer Shooter;90.55%;New World Interactive;https://steamdb.info/https://steamdb.info/developer/New+World+Interactive/;does not exist;does not exist;572;636;121575
Eador. Masters of the Broken World;Strategy Turn-Based Strategy Fantasy Turn-Based;66.66%;Snowbird Games;https://steamdb.info/https://steamdb.info/developer/Snowbird+Games/;does not exist;does not exist;66;72;118780
Call of Duty: Black Ops - Multiplayer;Action;does not exist;Treyarch;https://steamdb.info/https://steamdb.info/developer/Treyarch/;Activision;https://steamdb.info/https://steamdb.info/publisher/Activision/;266;373;118593
Total War: ROME II - Emperor Edition;Strategy Historical Turn-Based Strategy Grand Strategy;80.66%;CREATIVE ASSEMBLY;https://steamdb.info/https://steamdb.info/developer/CREATIVE+ASSEMBLY/;SEGA;https://steamdb.info/https://steamdb.info/publisher/SEGA/;5868;6850;118240
Tom Clancy's The Division;Open World Looter Shooter Multiplayer Third-Person Shooter;68.85%;Massive Entertainment;https://steamdb.info/https://steamdb.info/developer/Massive+Entertainment/;Ubisoft;https://steamdb.info/https://steamdb.info/publisher/Ubisoft/;992;1058;114228
Total War: WARHAMMER;Strategy Fantasy RTS War Turn-Based Strategy;77.00%;"CREATIVE ASSEMBLY; Feral Interactive (Linux); Feral Interactive (Mac)";"https://steamdb.info/https://steamdb.info/developer/CREATIVE+ASSEMBLY/; https://steamdb.info/https://steamdb.info/developer/Feral+Interactive+%28Linux%29/; https://steamdb.info/https://steamdb.info/developer/Feral+Interactive+%28Mac%29/";"SEGA; Feral Interactive (Linux); Feral Interactive (Mac)";"https://steamdb.info/https://steamdb.info/publisher/SEGA/; https://steamdb.info/https://steamdb.info/publisher/Feral+Interactive+%28Linux%29/; https://steamdb.info/https://steamdb.info/publisher/Feral+Interactive+%28Mac%29/";964;1011;113019
Call of Duty: Modern Warfare 2 (2009) - Multiplayer;Action;does not exist;Infinity Ward;https://steamdb.info/https://steamdb.info/developer/Infinity+Ward/;Activision;https://steamdb.info/https://steamdb.info/publisher/Activision/;378;513;112874
