Title;Subtitle;Image;Standart Price;Discount Price;Discount;Messaning
Nike Air Force 1 Mid '07 LX;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6f39f083-7fe8-48ea-9e1f-7483ac4d3578/air-force-1-mid-07-lx-mens-shoes-QpdMmT.png;$150;$105.97;71%;
Nike Zoom Mercurial Vapor 15 Pro TF;Turf Soccer Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f59f4455-9c48-49e4-8fe7-395f5f763049/zoom-mercurial-vapor-15-pro-tf-turf-soccer-shoes-k3JLmK.png;$120;$102.97;86%;
Nike Run Flow;Big Kids' Running Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b0ec3a0c-e6e0-47e5-841b-0f089adac795/run-flow-big-kids-running-shoes-VMSRjc.png;$80;$68.97;86%;
Luka 1;Little Kids' Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/bc1a814b-1a26-4a76-b835-70845d4d4a2f/luka-1-little-kids-shoes-Dmgrgl.png;$70;$59.97;86%;
Nike SuperRep Cycle 2 Next Nature;Indoor Cycling Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/670f3e26-62d2-4fb9-98f5-c6826f5f9336/superrep-cycle-2-next-nature-indoor-cycling-shoes-fNRjQJ.png;$120;$71.97;60%;Sustainable Materials
Nike Dynamo Go;Little Kids' Easy On/Off Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5dc44712-2453-40e4-a03c-2342b0024485/dynamo-go-little-kids-easy-on-off-shoes-jrpM1H.png;$65;$47.97;74%;
Nike Revolution 6 Next Nature;Women's Road Running Shoes (Wide);https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/48a609af-6300-4b8d-a854-dbfd72531f21/revolution-6-next-nature-womens-road-running-shoes-wide-bPdpBj.png;$70;$59.97;86%;Sustainable Materials
Nike Force 1 Fontanka;Little Kids' Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ad7d9d65-a262-44a4-bbd4-299fdaf3a2b5/force-1-fontanka-little-kids-shoes-14gT1v.png;$75;$63.97;85%;
Nike Air Max INTRLK Lite;Baby/Toddler Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5d1ba180-f956-42b1-8995-ff6812d0244f/air-max-intrlk-lite-baby-toddler-shoes-ZsRFZf.png;$50;$42.97;86%;
Nike Air Max Plus Utility;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0e00cf75-091e-4e17-8d86-7a6360004b45/air-max-plus-utility-mens-shoes-Rpkxlg.png;$195;$165.97;85%;
